simulationTime,numOfOrganisms,numOfPlants,maxNumOfOrganisms,maxNumOfPlants,longestLastingGenNum,numberOfChildren
59,3,2,3,2,0,0,
117,6,4,6,4,0,0,
174,8,6,8,6,0,0,
231,8,6,8,7,0,0,
287,8,8,8,8,0,0,
344,8,10,8,10,0,0,
400,8,10,8,11,0,0,
457,8,12,8,12,0,0,
513,8,12,8,12,0,0,
569,9,14,9,14,1,1,
625,9,14,9,14,1,1,
681,11,16,11,16,1,3,
736,11,17,11,17,1,3,
792,11,16,11,17,1,3,
846,11,18,11,18,1,3,
901,11,20,11,20,1,3,
956,10,21,11,21,1,3,
1011,10,21,11,21,1,3,
1067,7,22,11,22,1,3,
1123,7,23,11,24,2,4,
1178,8,24,11,24,2,4,
1234,8,26,11,26,2,4,
1291,8,28,11,28,2,4,
1347,8,28,11,29,2,4,
1403,9,29,11,29,2,5,
1461,9,31,11,31,2,5,
1520,9,31,11,32,2,5,
1576,8,31,11,32,2,4,
1628,8,32,11,32,2,4,
1679,9,33,11,33,2,4,
1727,8,34,11,34,2,3,
1776,10,35,11,35,2,5,
1821,10,36,11,36,2,5,
1864,10,37,11,37,2,5,
1913,10,34,11,37,2,5,
1958,12,35,12,37,3,7,
1978,12,36,12,37,3,7,
2014,12,36,12,37,3,7,
2071,12,38,13,38,3,7,
2129,9,39,13,40,3,7,
2186,8,39,13,40,3,7,
2243,9,39,13,40,3,8,
2301,9,38,13,40,3,8,
2358,10,38,13,40,3,9,
2415,10,37,13,40,4,9,
2473,10,36,13,40,4,9,
2530,12,37,13,40,4,11,
2587,12,36,13,40,4,11,
2645,12,35,13,40,4,11,
2702,10,36,13,40,4,10,
2759,9,37,13,40,4,9,
2817,8,34,13,40,4,8,
2876,8,34,13,40,4,8,
2934,7,35,13,40,4,6,
2992,9,37,13,40,5,7,
3050,9,36,13,40,5,7,
3108,8,35,13,40,5,6,
3166,8,37,13,40,5,6,
3224,8,37,13,40,5,5,
3281,9,37,13,40,5,6,
3338,8,38,13,40,5,5,
3396,8,38,13,40,5,4,
3454,8,38,13,40,5,4,
3511,7,38,13,40,5,3,
3569,8,38,13,40,5,2,
3626,10,36,13,40,5,4,
3683,10,35,13,40,5,4,
3739,11,37,13,40,5,5,
3796,11,37,13,40,5,5,
3850,12,36,13,40,5,6,
3906,12,36,13,40,5,6,
3962,10,37,13,40,5,6,
4019,10,38,13,40,5,6,
4076,10,36,13,40,5,6,
4132,11,35,13,40,5,7,
4188,11,35,13,40,5,7,
4245,10,36,13,40,5,7,
4302,10,38,13,40,5,7,
4358,10,38,13,40,5,7,
4415,9,36,13,40,5,7,
4472,10,37,13,40,5,8,
4529,9,37,13,40,5,8,
4587,8,36,13,40,5,8,
4644,8,36,13,40,5,6,
4701,8,35,13,40,5,5,
4759,8,36,13,40,5,5,
4816,8,36,13,40,5,5,
4874,8,36,13,40,5,4,
4931,8,37,13,40,5,4,
4987,9,38,13,40,5,5,
5044,9,37,13,40,5,5,
5100,9,37,13,40,5,5,
5157,8,39,13,40,5,4,
5214,9,39,13,40,5,5,
5271,8,39,13,40,5,4,
5327,8,40,13,40,5,4,
5383,8,40,13,41,5,4,
5440,8,39,13,41,5,4,
5497,8,40,13,41,5,3,
5555,9,40,13,41,5,4,
5612,8,37,13,41,5,4,
5669,8,39,13,41,5,4,
5726,8,39,13,41,5,4,
5783,8,41,13,41,5,4,
5840,8,38,13,41,5,4,
5897,8,39,13,41,5,4,
5955,8,39,13,41,5,4,
6012,8,40,13,41,5,2,
6068,9,40,13,41,5,3,
6124,9,39,13,41,5,3,
6180,9,41,13,41,5,3,
6233,9,38,13,41,5,3,
6288,9,38,13,41,5,3,
6343,9,39,13,41,5,3,
6399,10,38,13,41,5,4,
6453,10,37,13,41,5,4,
6509,9,37,13,41,5,4,
6566,8,37,13,41,5,3,
6624,9,36,13,41,5,4,
6681,8,36,13,41,5,4,
6738,8,36,13,41,5,4,
6794,8,35,13,41,5,4,
6851,8,36,13,41,5,4,
6907,8,38,13,41,5,4,
6964,8,39,13,41,5,4,
7020,9,37,13,41,5,5,
7076,8,38,13,41,5,4,
7131,8,39,13,41,5,4,
7186,8,38,13,41,5,4,
7234,8,40,13,41,5,4,
7283,9,40,13,41,5,5,
7338,9,40,13,41,5,5,
7394,8,37,13,41,5,4,
7448,8,37,13,41,5,4,
7502,9,36,13,41,5,5,
7551,10,36,13,41,5,6,
7606,10,36,13,41,5,6,
7661,10,37,13,41,5,6,
7716,11,36,13,41,5,7,
7771,11,37,13,41,5,8,
7825,11,37,13,41,5,8,
7879,10,36,13,41,5,8,
7931,10,36,13,41,5,8,
7980,10,36,13,41,5,8,
8035,8,37,13,41,5,7,
8090,9,34,13,41,5,8,
8142,9,34,13,41,5,8,
8198,8,35,13,41,5,7,
8253,9,36,13,41,5,8,
8308,8,34,13,41,5,7,
8361,8,35,13,41,5,7,
8417,8,35,13,41,5,7,
8473,8,34,13,41,5,7,
8528,10,36,13,41,5,8,
8580,9,37,13,41,5,7,
8635,8,37,13,41,5,6,
8692,8,37,13,41,5,6,
8734,8,38,13,41,5,5,
8754,8,40,13,41,5,4,
8798,8,39,13,41,5,4,
8842,8,39,13,41,5,4,
8882,8,41,13,41,5,4,
8938,8,39,13,41,5,4,
8990,9,40,13,41,5,5,
9047,8,40,13,41,5,5,
9103,8,40,13,41,5,5,
9160,8,41,13,41,5,5,
9214,9,41,13,42,5,6,
9266,8,42,13,42,5,5,
9318,9,42,13,42,6,6,
9372,9,41,13,43,6,6,
9426,9,41,13,43,6,6,
9475,9,39,13,43,6,6,
9522,8,40,13,43,6,5,
9572,9,41,13,43,6,6,
9613,9,42,13,43,6,6,
9658,9,41,13,43,6,6,
9707,8,43,13,43,6,6,
9758,7,44,13,44,6,6,
9807,8,46,13,46,6,6,
9858,8,44,13,46,6,6,
9901,9,44,13,46,7,7,
9938,9,46,13,46,7,7,
9972,9,45,13,46,7,7,
10016,8,46,13,47,7,6,
10039,8,48,13,48,7,6,
10083,9,48,13,49,7,7,
10131,9,48,13,49,7,7,
10182,8,49,13,49,7,6,
10234,9,49,13,49,7,7,
10288,9,47,13,49,7,7,
10342,8,47,13,49,7,6,
10397,8,48,13,49,7,6,
10451,8,47,13,49,7,6,
10499,9,48,13,49,7,7,
10550,8,49,13,49,7,6,
10602,8,48,13,49,7,5,
10649,8,48,13,49,7,5,
10698,8,49,13,50,7,5,
10748,8,49,13,50,7,5,
10798,8,49,13,50,7,5,
10842,9,50,13,50,7,6,
10890,9,48,13,50,7,6,
10944,8,49,13,50,7,5,
10997,8,49,13,50,7,5,
11049,8,49,13,50,7,4,
11100,8,49,13,50,7,3,
11154,8,48,13,50,7,3,
11208,8,47,13,50,7,3,
11259,8,46,13,50,7,2,
11311,8,46,13,50,7,2,
11363,8,47,13,50,7,2,
11415,8,46,13,50,7,2,
11466,8,46,13,50,7,1,
11519,8,44,13,50,7,1,
11572,8,43,13,50,7,1,
11624,8,45,13,50,7,1,
11675,8,44,13,50,7,1,
11729,8,45,13,50,7,1,
11781,8,45,13,50,7,1,
11834,10,44,13,50,7,3,
11884,10,44,13,50,7,3,
11930,10,42,13,50,7,3,
11980,10,43,13,50,7,3,
12031,9,43,13,50,7,3,
12086,8,42,13,50,7,3,
12141,8,41,13,50,7,3,
12196,8,41,13,50,7,3,
12250,8,40,13,50,7,4,
12303,8,42,13,50,7,4,
12358,9,43,13,50,7,5,
12413,9,42,13,50,7,5,
12468,8,43,13,50,7,5,
12522,8,44,13,50,7,5,
12572,8,45,13,50,7,5,
12620,8,45,13,50,7,5,
12671,8,45,13,50,7,5,
12721,9,45,13,50,7,6,
12771,8,44,13,50,7,6,
12825,7,43,13,50,7,4,
12877,8,41,13,50,7,3,
12925,9,42,13,50,7,4,
12975,11,42,13,50,7,6,
13024,11,43,13,50,7,6,
13072,11,41,13,50,7,6,
13120,11,40,13,50,7,6,
13157,11,41,13,50,7,6,
13172,12,43,13,50,7,7,
13203,12,43,13,50,7,7,
13234,11,45,13,50,7,6,
13262,12,47,13,50,7,7,
13270,12,48,13,50,7,7,
13276,12,49,13,50,7,7,
13283,12,51,13,51,7,7,
13290,12,50,13,51,7,7,
13297,12,52,13,52,7,7,
13304,12,52,13,53,7,7,
13311,12,54,13,54,7,7,
13318,12,55,13,55,7,7,
13325,12,57,13,57,7,7,
13332,12,58,13,59,7,7,
13339,12,60,13,60,7,7,
13346,11,61,13,61,7,6,
13353,11,63,13,63,7,6,
13361,11,65,13,65,7,6,
13367,11,67,13,67,7,6,
13374,12,68,13,68,7,7,
13413,12,68,13,69,7,7,
13467,14,68,14,69,7,9,
