simulationTime,numOfOrganisms,numOfPlants,maxNumOfOrganisms,maxNumOfPlants,longestLastingGenNum
49,1,2,1,2,0,
97,1,3,1,3,0,
146,1,5,1,5,0,
193,1,6,1,6,0,
242,1,8,1,8,0,
291,1,9,1,9,0,
340,1,11,1,11,0,
389,1,12,1,12,0,
438,1,14,1,14,0,
486,1,15,1,15,0,
534,1,17,1,17,0,
583,1,18,1,18,0,
631,1,20,1,20,0,
679,1,21,1,21,0,
728,1,23,1,23,0,
776,1,24,1,24,0,
825,1,26,1,26,0,
873,1,27,1,27,0,
922,1,29,1,29,0,
969,1,30,1,30,0,
1016,1,32,1,32,0,
1064,1,33,1,33,0,
1113,1,35,1,35,0,
1161,1,36,1,36,0,
1210,1,38,1,38,0,
1259,1,39,1,39,0,
1307,1,41,1,41,0,
1356,1,42,1,42,0,
1405,1,44,1,44,0,
1454,1,45,1,45,0,
1502,1,46,1,46,0,
1551,1,46,1,46,0,
1600,1,46,1,46,0,
1648,1,46,1,46,0,
1696,1,46,1,46,0,
1744,1,46,1,47,0,
1792,1,46,1,47,0,
1841,1,46,1,47,0,
1890,1,46,1,47,0,
1939,1,46,1,47,0,
1987,1,46,1,47,0,
2036,1,46,1,47,0,
2085,1,46,1,47,0,
2134,1,46,1,47,0,
2183,1,46,1,47,0,
2232,1,46,1,47,0,
2281,1,45,1,47,0,
2330,2,45,2,47,1,
2379,2,45,2,47,1,
2427,2,45,2,47,1,
2475,2,45,2,47,1,
2517,2,44,2,47,1,
2555,2,44,2,47,1,
2599,3,45,3,47,2,
2635,3,45,3,47,2,
2661,3,46,3,47,2,
2709,3,45,3,47,2,
2758,3,45,3,47,2,
2807,3,44,3,47,2,
2856,3,45,3,47,2,
2901,4,45,4,47,2,
2946,4,45,4,47,2,
2989,4,45,4,47,2,
3020,4,47,4,47,2,
3048,3,47,4,48,2,
3094,3,48,4,48,2,
3119,3,48,4,48,2,
3160,3,49,4,49,2,
3175,3,49,4,49,2,
3208,3,50,4,50,2,
3250,3,51,4,51,2,
3288,3,51,4,51,2,
3308,2,52,4,52,2,
3325,2,53,4,53,2,
3374,2,53,4,54,2,
3431,2,53,4,54,2,
3488,2,54,4,54,2,
3545,2,53,4,54,2,
3602,1,53,4,54,2,
3658,1,52,4,54,2,
3715,1,53,4,54,2,
3772,1,52,4,54,2,
3829,1,52,4,54,2,
3886,0,51,4,54,2,
3942,1,52,4,54,2,
3999,1,51,4,54,2,
4056,1,51,4,54,2,
4113,1,49,4,54,2,
4170,1,48,4,54,2,
4227,1,47,4,54,2,
4283,2,48,4,54,2,
4340,2,47,4,54,2,
4397,2,46,4,54,2,
4453,2,45,4,54,2,
4510,2,45,4,54,2,
4567,2,45,4,54,2,
4624,2,45,4,54,2,
4681,2,43,4,54,2,
4738,2,42,4,54,2,
4794,2,41,4,54,2,
4851,3,40,4,54,2,
4908,2,38,4,54,2,
4965,2,39,4,54,2,
5022,2,38,4,54,2,
5079,2,38,4,54,2,
5135,2,37,4,54,2,
5192,3,38,4,54,2,
5249,2,37,4,54,2,
5306,2,37,4,54,2,
